TeamName,Manager,GivenName,FamilyName,DOB,Handed,TeamPool,PoolLength,PoolAddress
Ridgebacks,Jaunita Pressler,Klara,Berry,20000215,Right,Acacia Ridge,25," 1391 Beaudesert Road, Acacia Ridge"
Ridgebacks,Jaunita Pressler,Glenn,Vierra,20000521,Right,Acacia Ridge,25," 1391 Beaudesert Road, Acacia Ridge"
Ridgebacks,Jaunita Pressler,Trudi,Wilmes,20010701,Left,Acacia Ridge,25," 1391 Beaudesert Road, Acacia Ridge"
Ridgebacks,Jaunita Pressler,Lula,Profitt,20001012,Right,Acacia Ridge,25," 1391 Beaudesert Road, Acacia Ridge"
Ridgebacks,Jaunita Pressler,Terry,Ostroff,20021202,Right,Acacia Ridge,25," 1391 Beaudesert Road, Acacia Ridge"
Ridgebacks,Jaunita Pressler,Herschel,Gies,20000127,Right,Acacia Ridge,25," 1391 Beaudesert Road, Acacia Ridge"
Ridgebacks,Jaunita Pressler,Marine,Priestly,20011106,Left,Acacia Ridge,25," 1391 Beaudesert Road, Acacia Ridge"
Chermside Turtles,Rafael Clendening,Mohammed,Gordillo,20010716,Right,Chermside,25,"375 Hamilton Road, Chermside"
Chermside Turtles,Rafael Clendening,Miguel,Freeburg,20000929,Right,Chermside,25,"375 Hamilton Road, Chermside"
Chermside Turtles,Rafael Clendening,Lindsay,Bautch,20020517,Right,Chermside,25,"375 Hamilton Road, Chermside"
Chermside Turtles,Rafael Clendening,Virgil,Morra,20000910,Right,Chermside,25,"375 Hamilton Road, Chermside"
Chermside Turtles,Rafael Clendening,Cristi,Pickens,20011220,Right,Chermside,25,"375 Hamilton Road, Chermside"
Chermside Turtles,Rafael Clendening,Aurora,Gisi,20000816,Left,Chermside,25,"375 Hamilton Road, Chermside"
Chermside Turtles,Rafael Clendening,Emmett,Bogner,20010101,Right,Chermside,25,"375 Hamilton Road, Chermside"
Chermside Turtles,Rafael Clendening,Shara,Kindell,20000330,Right,Chermside,25,"375 Hamilton Road, Chermside"
Chermside Turtles,Rafael Clendening,Debra,Paschall,20000227,Right,Chermside,25,"375 Hamilton Road, Chermside"
Chermside Turtles,Rafael Clendening,Ernie,Poissant,20021019,Left,Chermside,25,"375 Hamilton Road, Chermside"
